;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_12,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_12\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\AI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\MOTOR,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\PID,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\VALVE,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\AI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\MOTOR,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\PID,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\SEQ,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\VALVE,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR\_13276_PLC_1001,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR\AGUA_TRATADA,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR\EMS_E,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR\YAN_12,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,PR\YAN_PLEX,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RF,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RF\GEKKO,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RF\YAN_SLAG,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RO,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RO\EMS_AC,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RO\EMS_DB,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RO\EMS_E,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RT,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RT\RETORTAS_CL01,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,RT\RETORTAS_CL02,,F,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Tag Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,PR\YAN_12\VALVE\YV3102,Codigo de equipo: YV3102,F,M,*,F,,,,,,,,,,,,,20,YV3102,1,,,,,,,
S,PR\YAN_12\VALVE\YV3102_Description,Descripcion de equipo: BARREN SOLUTION FEED VALVE ,F,M,*,F,,,,,,,,,,,,,80,BARREN SOLUTION FEED VALVE ,1,,,,,,,
